"","airlineId","year","month","type","NormalizedDelay","count"
"70505",19393,2005,4,0,3.9999475,76135
"70506",19393,2005,5,0,3.9999495,79118
"70507",19393,2005,6,0,3.9999487,77950
"70508",19393,2005,7,0,3.99995,79752
"70509",19393,2005,8,0,3.9999506,80923
"70510",19393,2005,9,0,3.9999468,75261
"70511",19393,2006,1,0,3.9999502,80114
"70512",19393,2006,10,0,3.9999535,86252
"70513",19393,2006,11,0,3.9999514,82077
"70514",19393,2006,12,0,3.999952,83588
"70515",19393,2006,2,0,3.9999452,72919
"70516",19393,2006,3,0,3.9999514,82259
"70517",19393,2006,4,0,3.99995,79896
"70518",19393,2006,5,0,3.9999516,82764
"70519",19393,2006,6,0,3.999951,81431
"70520",19393,2006,7,0,3.9999523,83992
"70521",19393,2006,8,0,3.9999535,85894
"70522",19393,2006,9,0,3.9999511,81845
"70523",19393,2007,1,0,3.999953,85264
"70524",19393,2007,10,0,3.9999557,90442
"70525",19393,2007,11,0,3.9999545,87942
"70526",19393,2007,12,0,3.999955,88665
"70527",19393,2007,2,0,3.9999475,76400
"70528",19393,2007,3,0,3.9999545,87670
"70529",19393,2007,4,0,3.9999537,86550
"70530",19393,2007,5,0,3.9999552,89050
"70531",19393,2007,6,0,3.999954,87092
"70532",19393,2007,7,0,3.999956,90503
"70533",19393,2007,8,0,3.9999564,91573
"70534",19393,2007,9,0,3.999954,87104
"70535",19393,2008,1,0,3.999956,90721
"70536",19393,2008,10,0,3.9999564,91685
"70537",19393,2008,11,0,3.9999535,86093
"70538",19393,2008,12,0,3.9999535,86012
"70539",19393,2008,2,0,3.9999523,83725
"70540",19393,2008,3,0,3.9999566,92127
"70541",19393,2008,4,0,3.9999561,91084
"70542",19393,2008,5,0,3.9999568,92841
"70543",19393,2008,6,0,3.9999561,91086
"70544",19393,2008,7,0,3.999957,93373
"70545",19393,2008,8,0,3.9999564,91670
"70546",19393,2008,9,0,3.999954,86965
"70547",19393,2009,1,0,3.9999533,85428
"70548",19393,2009,10,0,3.9999526,84243
"70549",19393,2009,11,0,3.9999504,80835
"70550",19393,2009,12,0,3.9999514,82237
"70551",19393,2009,2,0,3.9999487,77875
"70552",19393,2009,3,0,3.9999552,89254
"70553",19393,2009,4,0,3.9999542,87410
"70554",19393,2009,5,0,3.9999547,88159
"70555",19393,2009,6,0,3.9999537,86660
"70556",19393,2009,7,0,3.9999552,89452
"70557",19393,2009,8,0,3.9999537,86573
"70558",19393,2009,9,0,3.999951,81405
"70559",19393,2010,1,0,3.99995,80040
"70560",19393,2010,10,0,3.9999533,85559
"70561",19393,2010,11,0,3.9999514,82328
"70562",19393,2010,12,0,3.9999518,83230
"70563",19393,2010,2,0,3.9999437,71235
"70564",19393,2010,3,0,3.9999535,85875
"70565",19393,2010,4,0,3.999953,85140
"70566",19393,2010,5,0,3.9999542,87540
"70567",19393,2010,6,0,3.9999542,87400
"70568",19393,2010,7,0,3.9999552,89008
"70569",19393,2010,8,0,3.9999547,88104
"70570",19393,2010,9,0,3.9999516,82585
"70571",19393,2011,1,0,3.9999518,83036
"70572",19393,2011,10,0,3.9999542,87407
"70573",19393,2011,11,0,3.9999511,81999
"70574",19393,2011,12,0,3.9999526,84512
"70575",19393,2011,2,0,3.9999464,74672
"70576",19393,2011,3,0,3.9999557,89965
"70577",19393,2011,4,0,3.9999542,87581
"70578",19393,2011,5,0,3.9999554,89728
"70579",19393,2011,6,0,3.999956,90609
"70580",19393,2011,7,0,3.9999566,92159
"70581",19393,2011,8,0,3.9999554,89750
"70582",19393,2011,9,0,3.999952,83604
"70583",19393,2012,1,0,3.9999506,80998
"70584",19393,2012,10,0,3.999953,85132
"70585",19393,2012,11,0,3.9999504,80634
"70586",19393,2012,12,0,3.9999511,82011
"70587",19393,2012,2,0,3.9999487,77872
"70588",19393,2012,3,0,3.999955,88631
"70589",19393,2012,4,0,3.999954,86987
"70590",19393,2012,5,0,3.9999552,89027
"70591",19393,2012,6,0,3.999955,88762
"70592",19393,2012,7,0,3.9999566,91978
"70593",19393,2012,8,0,3.9999547,88315
"70594",19393,2012,9,0,3.9999506,81163
"70595",19393,2013,1,0,3.99995,80029
"70596",19393,2013,10,0,3.9999535,85936
"70597",19393,2013,11,0,3.9999506,80968
"70598",19393,2013,12,0,3.9999533,85569
"70599",19393,2013,2,0,3.9999456,73609
"70600",19393,2013,3,0,3.999955,88652
"70601",19393,2013,4,0,3.9999542,87597
"70602",19393,2013,5,0,3.9999552,89288
"70603",19393,2013,6,0,3.9999545,88006
"70604",19393,2013,7,0,3.999956,90638
"70605",19393,2013,8,0,3.9999545,87672
"70606",19393,2013,9,0,3.999951,81543
"70607",19393,2014,1,0,3.9999495,79037
"70608",19393,2014,10,0,3.999956,90513
"70609",19393,2014,11,0,3.9999542,87329
"70610",19393,2014,12,0,3.9999566,91946
"70611",19393,2014,2,0,3.9999464,74540
"70612",19393,2014,3,0,3.9999561,91388
"70613",19393,2014,4,0,3.9999557,90018
"70614",19393,2014,5,0,3.9999561,91196
"70615",19393,2014,6,0,3.9999568,92498
"70616",19393,2014,7,0,3.999958,95585
"70617",19393,2014,8,0,3.999956,90634
"70618",19393,2014,9,0,3.9999533,85718
"70619",19393,2015,1,0,3.9999557,90221
"70620",19393,2015,10,0,3.9999583,96034
"70621",19393,2015,2,0,3.9999497,79669
"70622",19393,2015,3,0,3.9999592,98206
"70623",19393,2015,4,0,3.999959,97339
"70624",19393,2015,5,0,3.9999592,98054
"70625",19393,2015,6,0,3.9999597,99111
"70626",19393,2015,7,0,3.9999614,103659
"70627",19393,2015,8,0,3.9999595,98473
"70628",19393,2015,9,0,3.9999566,92395
"70629",19678,2000,11,0,3.9992485,5323
"70630",19678,2000,12,0,3.9992783,5542
"70631",19678,2001,1,0,3.9992485,5322
